"id","entidad_federativa","municipio"
"9900","09","279"
"9910","09","279"
"9920","09","279"
"9930","09","279"
"9940","09","279"
"9960","09","279"
"9969","09","279"
"9970","09","279"
"9979","09","279"
"10000","09","280"
"10010","09","280"
"10020","09","280"
"10100","09","280"
"10110","09","280"
"10130","09","280"
"10200","09","280"
"10210","09","280"
"10290","09","280"
"10300","09","280"
"10309","09","280"
"10320","09","280"
"10330","09","280"
"10340","09","280"
"10350","09","280"
"10360","09","280"
"10368","09","280"
"10369","09","280"
"10370","09","280"
"10378","09","280"
"10379","09","280"
"10380","09","280"
"10400","09","280"
"10500","09","280"
"10508","09","280"
"10509","09","280"
"10580","09","280"
"10589","09","280"
"10600","09","280"
"10610","09","280"
"10620","09","280"
"10630","09","280"
"10640","09","280"
"10650","09","280"
"10660","09","280"
"10700","09","280"
"10710","09","280"
"10720","09","280"
"10730","09","280"
"10740","09","280"
"10800","09","280"
"10810","09","280"
"10820","09","280"
"10830","09","280"
"10840","09","280"
"10900","09","280"
"10910","09","280"
"10920","09","280"
"10926","09","280"
"11000","09","288"
"11009","09","288"
"11040","09","288"
"11100","09","288"
"11109","09","288"
"11200","09","288"
"11209","09","288"
"11210","09","288"
"11219","09","288"
"11220","09","288"
"11230","09","288"
"11239","09","288"
"11240","09","288"
"11250","09","288"
"11259","09","288"
"11260","09","288"
"11270","09","288"
"11280","09","288"
"11289","09","288"
"11290","09","288"
"11300","09","288"
"11310","09","288"
"11311","09","288"
"11320","09","288"
"11330","09","288"
"11340","09","288"
"11350","09","288"
"11360","09","288"
"11370","09","288"
"11379","09","288"
"11400","09","288"
"11410","09","288"
"11420","09","288"
"11430","09","288"
"11440","09","288"
"11450","09","288"
"11460","09","288"
"11470","09","288"
"11479","09","288"
"11480","09","288"
"11489","09","288"
"11490","09","288"
"11500","09","288"
"11501","09","288"
"11510","09","288"
"11511","09","288"
"11520","09","288"
"11529","09","288"
"11530","09","288"
"11540","09","288"
"11550","09","288"
"11560","09","288"
"11580","09","288"
"11587","09","288"
"11590","09","288"
"11600","09","288"
"11610","09","288"
"11619","09","288"
"11640","09","288"
"11649","09","288"
"11650","09","288"
"11700","09","288"
"11800","09","288"
"11810","09","288"
"11820","09","288"
"11830","09","288"
"11840","09","288"
"11850","09","288"
"11860","09","288"
"11869","09","288"
"11870","09","288"
"11910","09","288"
"11920","09","288"
"11930","09","288"
"11950","09","288"
"12000","09","281"
"12009","09","281"
"12070","09","281"
"12080","09","281"
"12100","09","281"
"12110","09","281"
"12200","09","281"
"12250","09","281"
"12300","09","281"
"12400","09","281"
"12410","09","281"
"12500","09","281"
"12600","09","281"
"12700","09","281"
"12800","09","281"
"12910","09","281"
"12920","09","281"
"12930","09","281"
"12940","09","281"
"12950","09","281"
